'may 20 2034', '2034-05-20'
'9 may 1630', '1630-05-09'
'15/03/2014', '2014-03-15'
'mar 16 1675', '1675-03-16'
'jun 16 1640', '1640-06-16'
'friday 1791 2 09', '1791-09-02'
'wed 1776 11 september', '1776-09-11'
'1833 9 jun', '1833-06-09'
'sun 26 oct 1788', '1788-10-26'
'1685 30 oct', '1685-10-30'
'12/17/51', '1751-12-17'
'october 21 2051', '2051-10-21'
'jul 11 1562', '1562-07-11'
'29 april 1979', '1979-04-29'
'11/23/13', '1813-11-23'
'6 december 1802', '1802-12-06'
'sep 23 2066', '2066-09-23'
'nov 6 1567', '1567-11-06'
'april 1 1836', '1836-04-01'
'20 june 1905', '1905-06-20'
'dec 10 1700', '1700-12-10'
'august 30 1995', '1995-08-30'
'tuesday november 13 1753', '1753-11-13'
'oct 28 1801', '1801-10-28'
'feb 11 1896', '1896-02-11'
'26 february 2045', '2045-02-26'
'sat 22 sep 2068', '2068-09-22'
'may 18 2037', '2037-05-18'
'2 january 1980', '1980-01-02'
'thu 28 may 1931', '1931-05-28'
'tue 10 aug 1548', '1548-08-10'
'sunday october 26 1760', '1760-10-26'
'may 19 2058', '2058-05-19'
'june 23 1865', '1865-06-23'
'september 23 2035', '2035-09-23'
'jul 27 1902', '1902-07-27'
'january 27 1911', '1911-01-27'
'february 25 1935', '1935-02-25'
'1670 15 may', '1670-05-15'
'march 13 1877', '1877-03-13'
'sat 1782 30 november', '1782-11-30'
'may 2 1840', '1840-05-02'
'january 21 1596', '1596-01-21'
'tuesday march 7 1837', '1837-03-07'
'11 november 1887', '1887-11-11'
'tuesday 2065 27 10', '2065-10-27'
'june 20 1528', '1528-06-20'
'sunday february 6 1577', '1577-02-06'
'1874 26 nov', '1874-11-26'
'wednesday july 11 1906', '1906-07-11'
'monday 13 may 1715', '1715-05-13'
'mar 28 1861', '1861-03-28'
'january 27 1772', '1772-01-27'
'monday march 26 1787', '1787-03-26'
'2037 31 may', '2037-05-31'
'jun 21 1672', '1672-06-21'
'17 march 1853', '1853-03-17'
'mar 5 1542', '1542-03-05'
'18 february 2045', '2045-02-18'
'31 january 1698', '1698-01-31'
'14/12/1773', '1773-12-14'
'1893 8 may', '1893-05-08'
'6 apr 1859', '1859-04-06'
'10 october 1969', '1969-10-10'
'october 19 1541', '1541-10-19'
'aug 4 1788', '1788-08-04'
'12 january 1704', '1704-01-12'
'sunday april 19 1942', '1942-04-19'
'14 january 1571', '1571-01-14'
'1899 12 july', '1899-07-12'
'26 march 1612', '1612-03-26'
'monday june 14 1897', '1897-06-14'
'3/2/60', '1860-03-02'
'oct 3 1922', '1922-10-03'
'21 may 1746', '1746-05-21'
'tue 29 sep 1931', '1931-09-29'
'8 march 1828', '1828-03-08'
'june 23 1885', '1885-06-23'
'1/26/57', '1857-01-26'
'august 16 1902', '1902-08-16'
'1841 30 may', '1841-05-30'
'21 september 1881', '1881-09-21'
'19 november 2042', '2042-11-19'
'sat 1772 5 september', '1772-09-05'
'november 7 2023', '2023-11-07'
'12/1/26', '1926-12-01'
'tuesday 1 april 1924', '1924-04-01'
'june 25 1728', '1728-06-25'
'1680 29 jul', '1680-07-29'
'december 7 1907', '1907-12-07'
'jan 7 1859', '1859-01-07'
'18 december 1615', '1615-12-18'
'26 july 2029', '2029-07-26'
'5/3/51', '1851-05-03'
'september 28 1880', '1880-09-28'
'september 20 1661', '1661-09-20'
'1746 11 june', '1746-06-11'
'28 april 1751', '1751-04-28'
'1 october 1688', '1688-10-01'
'january 13 1540', '1540-01-13'
'16 november 1954', '1954-11-16'
'1935 8 january', '1935-01-08'
'may 25 1857', '1857-05-25'
'tue 15 feb 1605', '1605-02-15'
'april 14 1738', '1738-04-14'
'27 december 1916', '1916-12-27'
'feb 25 1794', '1794-02-25'
'mar 5 2071', '2071-03-05'
'friday 1877 27 07', '1877-07-27'
'12/21/06', '1806-12-21'
'1873 15 february', '1873-02-15'
'june 28 1924', '1924-06-28'
'saturday 13 may 1769', '1769-05-13'
'3/17/87', '1987-03-17'
'thursday june 12 1980', '1980-06-12'
'apr 20 1677', '1677-04-20'
'mon 11 apr 2011', '2011-04-11'
'november 28 2006', '2006-11-28'
'friday 28 march 1788', '1788-03-28'
'september 15 1789', '1789-09-15'
'fri 1604 10 september', '1604-09-10'
'april 18 1930', '1930-04-18'
'sun 1808 2 october', '1808-10-02'
'mar 19 1813', '1813-03-19'
'april 27 1981', '1981-04-27'
'dec 21 1960', '1960-12-21'
'monday november 3 1969', '1969-11-03'
'sunday november 8 1981', '1981-11-08'
'april 28 1782', '1782-04-28'
'july 31 1927', '1927-07-31'
'12 august 1861', '1861-08-12'
'may 30 1578', '1578-05-30'
'1928 11 jan', '1928-01-11'
'9 december 1696', '1696-12-09'
'9 oct 1586', '1586-10-09'
'wed 27 apr 1718', '1718-04-27'
'monday october 2 1561', '1561-10-02'
'may 9 1764', '1764-05-09'
'september 11 2042', '2042-09-11'
'sat 1931 19 december', '1931-12-19'
'wednesday march 23 1695', '1695-03-23'
'friday june 15 2057', '2057-06-15'
'apr 11 1628', '1628-04-11'
'august 8 1963', '1963-08-08'
'aug 24 1928', '1928-08-24'
'jan 26 1970', '1970-01-26'
'1537 11 december', '1537-12-11'
'14 jun 1761', '1761-06-14'
'saturday december 27 1834', '1834-12-27'
'wednesday december 22 1593', '1593-12-22'
'april 5 1857', '1857-04-05'
'friday may 16 1738', '1738-05-16'
'26 october 1526', '1526-10-26'
'august 10 1646', '1646-08-10'
'20 march 1732', '1732-03-20'
'2/24/32', '1932-02-24'
'18 august 1982', '1982-08-18'
'july 7 1970', '1970-07-07'
'friday 1803 21 01', '1803-01-21'
'sep 5 1635', '1635-09-05'
'june 4 2036', '2036-06-04'
'04/01/1918', '1918-01-04'
'19 may 1677', '1677-05-19'
'jan 23 1951', '1951-01-23'
'may 7 1632', '1632-05-07'
'15 may 1825', '1825-05-15'
'sun 29 may 1633', '1633-05-29'
'1629 14 aug', '1629-08-14'
'jul 16 1797', '1797-07-16'
'july 6 2028', '2028-07-06'
'friday 1655 22 01', '1655-01-22'
'january 15 2066', '2066-01-15'
'sunday 10 august 2025', '2025-08-10'
'sat 7 jul 1528', '1528-07-07'
'thursday 1636 19 06', '1636-06-19'
'sunday june 18 1651', '1651-06-18'
'feb 8 2055', '2055-02-08'
'4 may 1678', '1678-05-04'
'tuesday january 24 1741', '1741-01-24'
'tuesday 1543 19 10', '1543-10-19'
'3 september 1742', '1742-09-03'
'november 12 1803', '1803-11-12'
'feb 26 1600', '1600-02-26'
'mar 14 2031', '2031-03-14'
'thursday february 22 1540', '1540-02-22'
'monday august 11 1580', '1580-08-11'
'09/11/2011', '2011-11-09'
'tuesday september 11 1860', '1860-09-11'
'sun 1665 19 july', '1665-07-19'
'december 19 1888', '1888-12-19'
'november 29 1862', '1862-11-29'
'tue 1742 19 june', '1742-06-19'
'september 9 1557', '1557-09-09'
'1733 17 january', '1733-01-17'
'mar 21 1896', '1896-03-21'
'8 sep 1980', '1980-09-08'
'sun 9 jun 2030', '2030-06-09'
'may 14 1682', '1682-05-14'
'dec 10 1618', '1618-12-10'
'19 march 1883', '1883-03-19'
'mon 1612 8 october', '1612-10-08'
'january 3 2011', '2011-01-03'
'21 august 1962', '1962-08-21'
'thu 2049 8 july', '2049-07-08'
'10/11/1565', '1565-11-10'
'11 april 2070', '2070-04-11'
'fri 2028 3 november', '2028-11-03'
'september 28 2059', '2059-09-28'
'sunday 29 august 1537', '1537-08-29'
'9/6/20', '2020-09-06'
'thursday august 24 1769', '1769-08-24'
'march 15 2015', '2015-03-15'
'19 january 1826', '1826-01-19'
'sep 1 1982', '1982-09-01'
'mar 7 1907', '1907-03-07'
'march 30 1882', '1882-03-30'
'sun 19 dec 1909', '1909-12-19'
'thu 1592 16 april', '1592-04-16'
'12/26/35', '1735-12-26'
'12 september 1758', '1758-09-12'
'tuesday 9 september 1575', '1575-09-09'
'january 23 1535', '1535-01-23'
'22 june 1662', '1662-06-22'
'thursday 1685 5 07', '1685-07-05'
'tuesday july 16 1935', '1935-07-16'
'19 july 1897', '1897-07-19'
'24 march 1930', '1930-03-24'
'1858 21 january', '1858-01-21'
'may 27 1852', '1852-05-27'
'13 july 1993', '1993-07-13'
'july 15 1671', '1671-07-15'
'sunday july 4 1543', '1543-07-04'
'24 december 2049', '2049-12-24'
